,binary_verdict
18099,1
18100,0
18101,1
18102,1
18103,0
18104,0
18105,0
18106,0
18107,0
18108,0
18109,0
18110,1
18111,0
18112,0
18113,0
18114,1
18115,1
18116,0
18117,0
18118,0
18119,0
18120,1
18121,1
18122,1
18123,0
18124,0
18125,1
18126,0
18127,1
18128,0
18129,0
18130,0
18131,0
18132,1
18133,0
18134,0
18135,1
18136,1
18137,1
18138,1
18139,1
18140,0
18141,1
18142,0
18143,1
18144,0
18145,1
18146,0
18147,0
18148,0
18149,1
18150,0
18151,1
18152,1
18153,0
18154,1
18155,0
18156,1
18157,0
18158,0
18159,0
18160,1
18161,1
18162,0
18163,1
18164,0
18165,0
18166,1
18167,1
18168,1
18169,0
18170,0
18171,1
18172,0
18173,0
18174,1
18175,0
18176,0
18177,0
18178,1
18179,1
18180,0
18181,0
18182,0
18183,1
18184,0
18185,1
18186,0
18187,0
18188,1
18189,0
18190,0
18191,0
18192,1
18193,1
18194,0
18195,1
18196,1
18197,1
18198,0
18199,0
18200,0
18201,0
18202,1
18203,1
18204,1
18205,1
18206,0
18207,1
18208,1
18209,0
18210,0
18211,0
18212,0
18213,1
18214,0
18215,0
18216,0
18217,0
18218,1
18219,0
18220,0
18221,0
18222,0
18223,0
18224,1
18225,1
18226,0
18227,0
18228,0
18229,1
18230,1
18231,0
18232,1
18233,0
18234,0
18235,0
18236,0
18237,0
18238,0
18239,0
18240,1
18241,0
18242,1
18243,1
18244,1
18245,0
18246,0
18247,1
18248,0
18249,0
18250,0
18251,1
18252,1
18253,1
18254,0
18255,1
18256,0
18257,0
18258,1
18259,1
18260,0
18261,0
18262,0
18263,0
18264,1
18265,0
18266,0
18267,0
18268,1
18269,0
18270,1
18271,0
18272,0
18273,1
18274,0
18275,0
18276,0
18277,0
18278,0
18279,0
18280,0
18281,0
18282,1
18283,1
18284,0
18285,0
18286,0
18287,0
18288,0
18289,0
18290,1
18291,0
18292,0
18293,1
18294,0
18295,1
18296,1
18297,0
18298,1
18299,0
18300,1
18301,0
18302,0
18303,1
18304,0
18305,0
18306,0
18307,1
18308,0
18309,0
18310,1
18311,0
18312,0
18313,0
18314,1
18315,1
18316,0
18317,0
18318,0
18319,1
18320,1
18321,0
18322,0
18323,0
18324,1
18325,0
18326,0
18327,0
18328,1
18329,0
18330,1
18331,0
18332,1
18333,0
18334,0
18335,0
18336,0
18337,1
18338,1
18339,1
18340,1
18341,0
18342,1
18343,0
18344,1
18345,0
18346,0
18347,1
18348,0
18349,0
18350,1
18351,1
18352,1
18353,0
18354,0
18355,0
18356,1
18357,1
18358,1
18359,1
18360,0
18361,0
18362,1
18363,0
18364,1
18365,0
18366,0
18367,1
18368,0
18369,0
18370,1
18371,0
18372,1
18373,0
18374,0
18375,0
18376,0
18377,0
18378,0
18379,1
18380,1
18381,1
18382,0
18383,1
18384,1
18385,1
18386,0
18387,1
18388,0
18389,1
18390,0
18391,1
18392,0
18393,1
18394,1
18395,0
18396,1
18397,1
18398,1
18399,1
18400,1
18401,0
18402,1
18403,1
18404,0
18405,1
18406,0
18407,1
18408,1
18409,0
18410,1
18411,1
18412,0
18413,1
18414,0
18415,0
18416,1
18417,0
18418,0
18419,1
18420,1
18421,0
18422,0
18423,0
18424,0
18425,1
18426,1
18427,1
18428,0
18429,1
18430,0
18431,1
18432,1
18433,0
18434,0
18435,0
18436,0
18437,1
18438,0
18439,1
18440,1
18441,1
18442,1
18443,1
18444,0
18445,0
18446,0
18447,0
18448,0
18449,1
18450,0
18451,1
18452,1
18453,0
18454,1
18455,0
18456,1
18457,0
18458,0
18459,1
18460,0
18461,0
18462,0
18463,1
18464,0
18465,1
18466,1
18467,0
18468,1
18469,1
18470,1
18471,1
18472,0
18473,0
18474,1
18475,0
18476,0
18477,1
18478,1
18479,1
18480,0
18481,0
18482,0
18483,0
18484,1
18485,0
18486,0
18487,1
18488,1
18489,1
18490,0
18491,0
18492,0
18493,0
18494,0
18495,0
18496,0
18497,0
18498,1
18499,1
18500,0
18501,0
18502,0
18503,1
18504,1
18505,0
18506,1
18507,0
18508,1
18509,1
18510,0
18511,0
18512,0
18513,1
18514,1
18515,0
18516,1
18517,1
18518,0
18519,1
18520,0
18521,1
18522,1
18523,1
18524,1
18525,0
18526,1
18527,0
18528,1
18529,1
18530,0
18531,0
18532,1
18533,1
18534,0
18535,0
18536,0
18537,1
18538,0
18539,1
18540,0
18541,1
18542,1
18543,0
18544,1
18545,0
18546,1
18547,0
18548,1
18549,0
18550,0
18551,0
18552,0
18553,0
18554,0
18555,0
18556,1
18557,0
18558,0
18559,1
18560,1
18561,0
18562,0
18563,1
18564,1
18565,0
18566,0
18567,1
18568,0
18569,0
18570,1
18571,1
18572,1
18573,0
18574,1
18575,1
18576,0
18577,1
18578,0
18579,1
18580,0
18581,0
18582,0
18583,0
18584,0
18585,1
18586,0
18587,0
18588,0
18589,1
18590,0
18591,0
18592,1
18593,1
18594,1
18595,1
18596,1
18597,1
18598,1
18599,0
18600,1
18601,0
18602,1
18603,0
18604,0
18605,1
18606,1
18607,0
18608,0
18609,1
18610,1
18611,0
18612,1
18613,1
18614,0
18615,1
18616,0
18617,1
18618,1
18619,1
18620,1
18621,0
18622,0
18623,0
18624,1
18625,1
18626,1
18627,0
18628,0
18629,0
18630,0
18631,1
18632,0
18633,1
18634,0
18635,1
18636,0
18637,0
18638,0
18639,0
18640,1
18641,1
18642,0
18643,0
18644,0
18645,0
18646,0
18647,1
18648,0
18649,0
18650,1
18651,1
18652,1
18653,0
18654,0
18655,0
18656,0
18657,0
18658,0
18659,0
18660,0
18661,0
18662,0
18663,1
18664,1
18665,0
18666,0
18667,0
18668,0
18669,0
18670,0
18671,0
18672,1
18673,0
18674,0
18675,1
18676,0
18677,0
18678,0
18679,1
18680,1
18681,0
18682,1
18683,1
18684,1
18685,1
18686,0
18687,1
18688,1
18689,0
18690,1
18691,1
18692,0
18693,1
18694,0
18695,0
18696,1
18697,1
18698,0
18699,0
18700,1
18701,1
18702,0
18703,1
18704,0
18705,0
18706,1
18707,1
18708,1
18709,0
18710,0
18711,1
18712,0
18713,1
18714,0
18715,1
18716,1
18717,0
18718,1
18719,1
18720,1
18721,0
18722,0
18723,1
18724,0
18725,0
18726,0
18727,1
18728,0
18729,0
18730,1
18731,1
18732,0
18733,1
18734,0
18735,0
18736,1
18737,0
18738,0
18739,0
18740,1
18741,1
18742,1
18743,1
18744,0
18745,1
18746,0
18747,1
18748,0
18749,1
18750,1
18751,0
18752,0
18753,0
18754,0
18755,0
18756,0
18757,1
18758,0
18759,1
18760,1
18761,0
18762,0
18763,0
18764,0
18765,0
18766,1
18767,0
18768,1
18769,0
18770,1
18771,0
18772,0
18773,1
18774,1
18775,0
18776,0
18777,1
18778,1
18779,1
18780,0
18781,0
18782,0
18783,1
18784,0
18785,0
18786,0
18787,0
18788,0
18789,0
18790,0
18791,1
18792,0
18793,0
18794,1
18795,0
18796,0
18797,0
18798,0
18799,0
18800,1
18801,1
18802,0
18803,0
18804,0
18805,0
18806,1
18807,1
18808,1
18809,0
18810,0
18811,1
18812,1
18813,0
18814,0
18815,1
18816,0
18817,0
18818,1
18819,0
18820,0
18821,1
18822,0
18823,1
18824,0
18825,1
18826,0
18827,1
18828,0
18829,1
18830,0
18831,1
18832,1
18833,1
18834,0
18835,0
18836,1
18837,0
18838,0
18839,0
18840,0
18841,1
18842,0
18843,0
18844,0
18845,0
18846,1
18847,1
18848,0
18849,0
18850,0
18851,1
18852,1
18853,1
18854,0
18855,1
18856,0
18857,1
18858,1
18859,1
18860,0
18861,0
18862,0
18863,0
18864,1
18865,0
18866,0
18867,1
18868,0
18869,0
18870,0
18871,0
18872,1
18873,0
18874,1
18875,1
18876,0
18877,1
18878,1
18879,1
18880,1
18881,0
18882,0
18883,1
18884,1
18885,0
18886,0
18887,0
18888,1
18889,1
18890,0
18891,1
18892,1
18893,0
18894,0
18895,1
18896,1
18897,0
18898,1
18899,1
18900,1
18901,1
18902,0
18903,0
18904,0
18905,1
18906,0
18907,0
18908,0
18909,1
18910,0
18911,0
18912,0
18913,1
18914,1
18915,0
18916,0
18917,1
18918,0
18919,0
18920,1
18921,1
18922,0
18923,0
18924,0
18925,1
18926,1
18927,0
18928,1
18929,0
18930,1
18931,0
18932,1
18933,1
18934,1
18935,0
18936,1
18937,1
18938,1
18939,1
18940,0
18941,1
18942,0
18943,0
18944,0
18945,1
18946,0
18947,0
18948,1
18949,0
18950,0
18951,0
18952,0
18953,1
18954,0
18955,1
18956,0
18957,1
18958,1
18959,1
18960,0
18961,1
18962,1
18963,0
18964,1
18965,1
18966,0
18967,1
18968,0
18969,1
18970,0
18971,0
18972,1
18973,1
18974,0
18975,0
18976,1
18977,1
18978,0
18979,1
18980,0
18981,1
18982,0
18983,0
18984,1
18985,0
18986,0
18987,1
18988,1
18989,1
18990,1
18991,0
18992,1
18993,1
18994,1
18995,0
18996,0
18997,1
18998,1
18999,1
19000,0
19001,1
19002,1
19003,1
19004,1
19005,1
19006,1
19007,0
19008,0
19009,1
19010,0
19011,1
19012,1
19013,1
19014,0
19015,1
19016,1
19017,1
19018,1
19019,0
19020,1
19021,1
19022,1
19023,0
19024,1
19025,1
19026,0
19027,1
19028,0
19029,0
19030,0
19031,1
19032,0
19033,1
19034,0
19035,1
19036,0
19037,1
19038,0
19039,1
19040,0
19041,0
19042,1
19043,0
19044,0
19045,0
19046,1
19047,0
19048,1
19049,0
19050,0
19051,0
19052,1
19053,0
19054,1
19055,1
19056,1
19057,1
19058,0
19059,1
19060,0
19061,0
19062,0
19063,0
19064,0
19065,1
19066,1
19067,1
19068,0
19069,0
19070,1
19071,0
19072,1
19073,1
19074,1
19075,1
19076,1
19077,1
19078,0
19079,0
19080,1
19081,1
19082,0
19083,1
19084,0
19085,0
19086,0
19087,0
19088,0
19089,1
19090,1
19091,0
19092,1
19093,1
19094,0
19095,1
19096,1
19097,0
19098,0
19099,1
19100,0
19101,0
19102,0
19103,0
19104,1
19105,1
19106,1
19107,1
19108,0
19109,0
19110,1
19111,1
19112,1
19113,0
19114,0
19115,0
19116,0
19117,1
19118,0
19119,1
19120,1
19121,0
19122,1
19123,1
19124,0
19125,1
19126,0
19127,0
19128,1
19129,1
19130,0
19131,1
19132,1
19133,0
19134,1
19135,0
19136,0
19137,0
19138,1
19139,1
19140,0
19141,0
19142,0
19143,1
19144,0
19145,0
19146,0
19147,0
19148,0
19149,0
19150,0
19151,0
19152,0
19153,0
19154,0
19155,0
19156,1
19157,0
19158,0
19159,0
19160,1
19161,1
19162,1
19163,0
19164,0
19165,1
19166,1
19167,1
19168,0
19169,0
19170,1
19171,0
19172,0
19173,0
19174,0
19175,1
19176,0
19177,1
19178,0
19179,0
19180,1
19181,0
19182,1
19183,1
19184,0
19185,0
19186,0
19187,1
19188,0
